player_1_score,player_2_score,player_1_moves,player_2_moves,total_moves,n_start_marbles,n_cups,player_1_result,player_2_result,first_move,player_one_strategy,player_two_strategy,game_run_time,depth
16,32,44,54,98,4,6,lose,win,6,min_max,max_score,0.011639595031738281,0.0
14,34,36,72,108,4,6,lose,win,5,min_max,max_score,0.0449066162109375,0.0
15,33,45,60,105,4,6,lose,win,1,min_max,max_score,0.01314997673034668,0.0
21,27,42,60,102,4,6,lose,win,2,min_max,max_score,0.007854938507080078,0.0
23,25,66,52,118,4,6,lose,win,1,min_max,max_score,0.006636142730712891,0.0
17,31,45,72,117,4,6,lose,win,1,min_max,max_score,0.008656501770019531,0.0
13,35,28,72,100,4,6,lose,win,5,min_max,max_score,0.02030491828918457,0.0
25,23,61,48,109,4,6,win,lose,5,min_max,max_score,0.010811805725097656,0.0
23,25,55,63,118,4,6,lose,win,2,min_max,max_score,0.0070383548736572266,0.0
15,33,26,61,87,4,6,lose,win,4,min_max,max_score,0.07551407814025879,0.0
13,35,29,55,84,4,6,lose,win,4,min_max,max_score,0.07481932640075684,0.0
25,23,62,51,113,4,6,win,lose,2,min_max,max_score,0.008145570755004883,0.0
24,24,59,54,113,4,6,draw,draw,5,min_max,max_score,0.005828857421875,0.0
15,33,36,73,109,4,6,lose,win,4,min_max,max_score,0.0758357048034668,0.0
21,27,54,48,102,4,6,lose,win,1,min_max,max_score,0.00769495964050293,0.0
9,39,21,67,88,4,6,lose,win,3,min_max,max_score,0.11710596084594727,0.0
14,34,23,67,90,4,6,lose,win,6,min_max,max_score,0.037726402282714844,0.0
14,34,40,77,117,4,6,lose,win,4,min_max,max_score,0.07741141319274902,0.0
16,32,36,65,101,4,6,lose,win,4,min_max,max_score,0.07588887214660645,0.0
23,25,59,57,116,4,6,lose,win,2,min_max,max_score,0.008663177490234375,0.0
24,24,54,40,94,4,6,draw,draw,5,min_max,max_score,0.008880615234375,0.0
13,35,36,65,101,4,6,lose,win,4,min_max,max_score,0.07617425918579102,0.0
17,31,38,65,103,4,6,lose,win,5,min_max,max_score,0.00930166244506836,0.0
27,21,56,57,113,4,6,win,lose,6,min_max,max_score,0.005657196044921875,0.0
15,33,40,73,113,4,6,lose,win,4,min_max,max_score,0.07448959350585938,0.0
21,27,46,54,100,4,6,lose,win,1,min_max,max_score,0.008317708969116211,0.0
23,25,59,62,121,4,6,lose,win,5,min_max,max_score,0.006831645965576172,0.0
21,27,56,58,114,4,6,lose,win,1,min_max,max_score,0.011611461639404297,0.0
16,32,49,62,111,4,6,lose,win,5,min_max,max_score,0.009250402450561523,0.0
18,30,53,70,123,4,6,lose,win,1,min_max,max_score,0.008795022964477539,0.0
24,24,64,51,115,4,6,draw,draw,1,min_max,max_score,0.006833791732788086,0.0
25,23,68,52,120,4,6,win,lose,2,min_max,max_score,0.007396697998046875,0.0
19,29,51,61,112,4,6,lose,win,2,min_max,max_score,0.01001739501953125,0.0
12,36,27,64,91,4,6,lose,win,6,min_max,max_score,0.035707712173461914,0.0
20,28,41,54,95,4,6,lose,win,3,min_max,max_score,0.007714509963989258,0.0
14,34,33,78,111,4,6,lose,win,3,min_max,max_score,0.03095698356628418,0.0
17,31,41,69,110,4,6,lose,win,5,min_max,max_score,0.005697727203369141,0.0
23,25,53,58,111,4,6,lose,win,3,min_max,max_score,0.0060577392578125,0.0
23,25,50,62,112,4,6,lose,win,3,min_max,max_score,0.0075228214263916016,0.0
25,23,61,51,112,4,6,win,lose,1,min_max,max_score,0.006127834320068359,0.0
15,33,35,71,106,4,6,lose,win,4,min_max,max_score,0.07573294639587402,0.0
18,30,42,63,105,4,6,lose,win,1,min_max,max_score,0.02110004425048828,0.0
21,27,62,70,132,4,6,lose,win,2,min_max,max_score,0.006218910217285156,0.0
24,24,66,59,125,4,6,draw,draw,1,min_max,max_score,0.005291938781738281,0.0
